内饰评分,动力评分,外观评分,当前油耗,性价比评分,操控评分,油耗评分,空间评分,综合评分,舒适评分,裸车价格,购入时间,购车地点,车型
5,5,5,,5,5,3,5,4.75,5,,,,2018款艾瑞泽51.5L CVT致敬青春版
5,4,5,,5,5,5,5,4.88,5,,,,2018款艾瑞泽51.5L CVT致敬青春版
4,5,5,,5,5,4,5,4.63,4,,,,2017款艾瑞泽5Sport 1.5T CVT尊贵版
5,5,5,,5,4,4,5,4.63,4,,,,2017款艾瑞泽51.5L 手动豪华版
4,4,5,,5,4,4,5,4.38,4,,,,2017款艾瑞泽51.5L 手动领潮版
3,4,5,,5,4,3,5,4.13,4,,,,2016款艾瑞泽51.5L 手动领潮版
3,3,4,,5,3,3,4,3.50,3,,,,2016款艾瑞泽51.5L CVT领潮版
5,4,5,,5,5,5,5,4.88,5,,,,2016款艾瑞泽51.5L 手动领臻版
5,4,5,,5,5,5,5,4.75,4,,,,2016款艾瑞泽51.5L 手动领潮版
4,3,5,,5,5,5,5,4.50,4,,,,2016款艾瑞泽51.5L CVT领锐版
5,4,5,,5,5,5,5,4.88,5,,,,2016款艾瑞泽51.5L 手动领潮版
5,4,5,,4,5,5,5,4.75,5,,,,2016款艾瑞泽51.5L 手动领潮版
4,3,5,,5,5,4,5,4.38,4,,,,2016款艾瑞泽51.5L CVT领潮版
3,3,5,,5,5,4,5,4.25,4,,,,2016款艾瑞泽51.5L 手动领臻版
5,4,5,,5,5,5,5,4.88,5,,,,2016款艾瑞泽51.5L 手动领潮版
5,4,5,,5,5,4,5,4.75,5,,,,2016款艾瑞泽51.5L 手动领潮版
5,5,5,,5,5,5,5,5.00,5,,,,2016款艾瑞泽51.5L CVT领潮版
5,5,5,,5,5,1,5,4.50,5,,,,2016款艾瑞泽51.5L CVT领潮版
4,4,5,,5,4,5,5,4.50,4,,,,2016款艾瑞泽51.5L 手动领锐版
4,3,5,,5,5,3,5,4.25,4,,,,2016款艾瑞泽51.5L CVT领潮版
4,4,5,,5,5,5,5,4.63,4,,,,2016款艾瑞泽51.5L 手动领潮版
5,3,5,,4,3,4,5,4.13,4,,,,2016款艾瑞泽51.5L 手动领潮版
5,5,5,,5,5,5,5,5.00,5,,,,2016款艾瑞泽51.5L CVT领潮版
5,5,5,,5,5,5,5,5.00,5,,,,2016款艾瑞泽51.5L CVT领潮版
4,3,5,,4,4,3,5,4.00,4,,,,2016款艾瑞泽51.5L CVT领锐版
4,5,5,,5,5,5,5,4.88,5,,,,2016款艾瑞泽51.5L 手动领潮版
5,5,5,,5,5,5,5,5.00,5,,,,2018款艾瑞泽51.5L 手动致敬青春版
4,4,5,,5,5,4,5,4.50,4,,,,2018款艾瑞泽51.5L 手动致敬青春版
5,5,5,,5,5,4,5,4.88,5,,,,2018款艾瑞泽51.5L 手动致敬青春版
3,3,5,,5,4,4,5,4.13,4,,,,2018款艾瑞泽51.5L 手动致敬青春版
